ID,title,audio,timeCreated,published_date,word_count,PC,mobile,app,views,comment,bookMarked,like
5166623,2019 年最值得学习的三项技能,Yes,2018-12-11 23:32:20,2018-12-20 15:17:49,4636,4852,2149,897,7898,5,149,10
5145807,中年危机严重的芬兰人，为什么能活成世界上最幸福的样子？,No,2018-07-30 23:33:22,2018-08-07 17:42:30,4474,1342,555,1145,3042,2,37,5
5139199,“高功能性焦虑症”：天天活在焦虑中，还自以为是精英,Yes,2018-06-18 0:58:56,2018-06-20 15:30:41,3173,1525,703,269,2497,0,24,1
5133718,如何在苹果 App Store 上每月赚八万美元？,No,2018-05-14 0:14:24,2018-05-14 13:42:08,3785,2855,1731,252,4838,2,13,1
5124438,信仰区块链的“密码朋克”说：要么帮我们忙，要么闪开,No,2018-03-19 3:01:39,2018-03-21 11:59:36,1912,635,119,60,814,0,3,0
5121901,想改变消极的态度，就不要和平庸的人在一起,Yes,2018-03-03 22:43:10,2018-04-12 17:00:57,3388,1074,1592,1588,4254,10,196,12
5120748,2018 年 Web 开发者路线图：最全的教程、资源和在线课程,No,2018-02-25 21:32:42,2018-02-26 14:05:36,1444,3543,774,272,4589,2,46,5
5115125,为什么我要在2018年学习Python？,No,2018-01-22 0:02:06,2018-02-14 22:00:04,3868,2967,1690,1123,5780,0,147,14
5114081,2017 年的健康领域，人类取得了这 13 项重大科学突破,No,2018-01-15 23:30:18,2018-01-16 11:34:29,3731,865,264,876,2005,0,41,3
5107201,《企业家》杂志最佳作者: 2018 年 18 个值得观测的营销趋势,No,2017-12-09 17:34:33,2017-12-12 14:34:10,3826,989,432,837,2258,0,236,12
5103938,创业公司的“隐藏路线图”：CTO 如何进行有效的时间分配？,No,2017-11-21 4:02:52,2017-11-21 11:33:11,3565,1319,156,245,1720,0,34,0
5101450,一个饼图告诉你，创业公司该怎样招聘合适的高管,No,2017-11-06 23:17:29,2017-11-08 7:21:04,1034,996,296,519,1811,0,58,0
5097679,谷歌花了 2 年时间研究了 180 个团队，总结出成功的 5 个要素,No,2017-10-16 19:10:54,2017-10-24 7:21:04,1386,1418,921,1401,3740,2,675,8
5096296,总是有人不回你的电子邮件？试试这 5 种方法,Yes,2017-10-08 20:45:45,2017-10-13 14:31:04,2147,1365,248,281,1894,1,18,1
5093721,机器学习到底是什么？一篇文章带你了解透彻,No,2017-09-18 19:31:10,2017-09-26 11:41:04,2792,4655,1648,591,6894,0,835,3
5092333,平衡左右脑、加强记忆、提高情商……冥想的这些好处你知道吗？,No,2017-09-09 18:30:21,2017-11-03 11:01:04,1715,1971,942,645,3558,2,57,6
5090693,设计师神器！能分析当前网页设计架构的Chrome插件,No,2017-08-30 20:29:05,2017-08-31 17:10:14,822,1853,559,190,2602,0,482,3
5090506,五个技巧，让你不再害怕在公众面前演讲,No,2017-08-29 22:08:08,2017-09-04 7:26:04,1054,1667,746,696,3109,1,79,1
5089356,曾经辉煌的智能手环公司Jawbone，现在要做医疗设备来求生,No,2017-08-22 18:44:24,2017-08-24 11:01:04,2609,786,152,98,1036,0,8,0
5088816,想创业，先学会这10项基本技能再说,No,2017-08-18 17:41:13,2017-08-23 7:21:04,2055,1296,374,417,2087,1,68,0
5087432,蓝色是UI设计中最重要的颜色，为什么？,No,2017-08-10 4:20:39,2017-08-10 11:25:16,1182,3167,724,422,4313,0,57,2
5087239,工作中规则很重要，但这5种情况下你必须要打破它们,No,2017-08-09 1:47:56,2017-08-09 17:04:26,1845,950,296,232,1478,0,16,0
5086513,周末和周一必做的3件事情，保证一周精力充沛,No,2017-08-04 1:50:04,2017-08-04 9:37:59,1747,2634,513,801,3948,7,131,9
5085515,三个步骤，测试你的创业想法是否靠谱,No,2017-07-28 7:15:57,2017-07-28 11:46:04,3126,1905,464,1673,4042,0,2280,2
5085002,掌握这五大技能，你也可以去应聘数据分析师,No,2017-07-25 8:53:56,2017-07-26 16:01:04,1117,1974,831,1144,3949,3,153,1
5084747,为什么智能汽车这么容易被黑客侵入？,No,2017-07-23 15:32:08,2017-07-26 11:15:21,1555,683,537,132,1352,0,60,0
5084018,开发之前先充分了解客户，产品经理需要这四种技能,No,2017-07-18 5:33:45,2017-07-18 11:25:42,1334,1199,293,705,2197,0,1784,1
5083771,“天使投资”还是“魔鬼投资”，该如何判断？,No,2017-07-15 21:23:13,2017-07-16 11:56:56,2782,1024,509,887,2420,2,1771,706
5083577,如何找到能赚钱的利基市场？有8种实用方法,No,2017-07-14 5:29:27,2017-07-17 7:51:04,2616,4437,1314,1017,6768,2,157,4
5082821,慎用EEG头盔！网络犯罪分子可能会监听你的脑电波,No,2017-07-08 22:11:18,2017-07-10 11:47:26,1294,513,178,194,885,1,13,2
5082775,干货！对初创公司进行估值的九种方法,No,2017-07-08 4:43:33,2017-07-10 11:32:04,3727,2906,881,819,4606,0,295,4
5082265,先有鸡还是先有蛋：如何引导网络效应？| 投资人说,No,2017-07-04 19:37:43,2017-07-05 16:46:05,2091,585,154,253,992,1,35,1
5082143,如何利用“网络效应”推动产品成长？,No,2017-07-04 6:04:17,2017-07-05 7:51:04,3217,1837,351,372,2560,0,141,0
5081070,Zapier 创始人：想要带好远程团队，你需要这样一份管理指南,No,2017-06-26 1:45:23,2017-07-03 7:46:04,5318,1847,506,508,2861,0,112,2
5080294,初创企业应该进行关键转型（Pivot）的 4 个信号,No,2017-06-20 2:03:29,2017-06-21 8:01:04,2801,741,160,293,1194,2,46,1
5079693,Mission 创始人：精英技术团队的七个重要习惯,No,2017-06-14 19:38:24,2017-06-16 8:01:04,2829,1052,636,627,2315,5,638,6
5079317,"CommandIQ 前 CEO：SaaS正在死亡，""后SaaS世界""会是什么样？",No,2017-06-12 5:25:30,2017-06-12 12:17:27,2883,1544,360,451,2355,1,56,1
5079070,加入创业公司，你需要关心的不只是钱的问题,No,2017-06-09 3:03:24,2017-06-09 16:46:04,1676,1391,1310,1466,4167,1,996,2
5078352,为什么我们应该更加重视人力资源技术？,No,2017-06-03 18:46:37,2017-06-05 9:34:21,2345,821,271,242,1334,1,26,0
5077662,失败经验告诉我，创业必须选择能够“垄断供应”的行业 | 创世界,No,2017-05-29 6:01:56,2017-05-31 9:44:00,1883,1073,275,478,1826,1,489,3
5077654,HubSpot 创始人：不差钱就不融资了？你可能会错过很多,No,2017-05-28 19:38:07,2017-05-31 11:08:25,2565,1021,266,186,1473,1,26,0
5077332,还敢加班熬夜？半夜不睡觉，你的大脑会开始蚕食自己,No,2017-05-26 5:56:27,2017-05-26 13:35:13,1147,1966,1036,1510,4512,0,69,3
5077213,在快节奏的高科技时代，客户谁还愿意排队咨询财务顾问？,No,2017-05-25 12:31:06,2017-05-25 15:19:27,1842,453,135,225,813,0,16,0
5076467,被裁员了？放松心态，你现在需要马上做一件事,No,2017-05-24 16:59:43,2017-05-25 9:47:53,2101,1484,327,788,2599,10,47,4
5076158,文化多样性不足可能会致命，Uber 就是典型例证,No,2017-05-23 6:49:27,2017-05-23 9:31:56,2372,812,258,147,1217,2,20,2
5075897,科幻成真？ARM开发可植入人脑的芯片，可有效治疗中风和帕金森 | 早期实验室,No,2017-05-21 4:30:48,2017-05-21 13:13:36,816,409,281,267,957,1,22,2
5075749,库克称苹果对糖尿病治疗感兴趣，并亲自测试了一款血糖监测仪,No,2017-05-19 15:44:11,2017-05-19 16:54:40,1354,778,340,480,1598,1,27,10